Conversion table of Accession No/ FLJ ID/ Clone ID/ Sequence ID/ Another Sequence ID
(Data by Extracting System of Accurate ORFs)

Accesion No	FLJ ID	Clone ID	Sequence ID	Another Sequence ID
AK026812	FLJ23159	LNG09628	C-LNG09628	
AK026813	FLJ23160	LNG09682	C-LNG09682	
AK027210	FLJ23557	LNG09686	C-LNG09686	
AK027211	FLJ23558	LNG09703	C-LNG09703	
AK074447	FLJ23867	LNG09729	C-LNG09729	
AK026814	FLJ23161	LNG09730	C-LNG09730	
AK026815	FLJ23162	LNG09734	C-LNG09734	
AK026816	FLJ23163	LNG09751	C-LNG09751	
AK026817	FLJ23164	LNG09764	C-LNG09764	
AK027212	FLJ23559	LNG09844	C-LNG09844	
AK026818	FLJ23165	LNG09846	C-LNG09846	
AK074448	FLJ23868	LNG09855	C-LNG09855	
AK027213	FLJ23560	LNG09857	C-LNG09857	
AK074449	FLJ23869	LNG09860	C-LNG09860	
AK026819	FLJ23166	LNG09880	C-LNG09880	
AK026820	FLJ23167	LNG09902	C-LNG09902	
AK026821	FLJ23168	LNG09905	C-LNG09905	
AK026822	FLJ23169	LNG09957	C-LNG09957	
AK027214	FLJ23561	LNG09974	C-LNG09974	
AK026823	FLJ23170	LNG09984	C-LNG09984	
AK026824	FLJ23171	LNG09994	C-LNG09994	
AK026826	FLJ23173	LNG10019	C-LNG10019	
AK026827	FLJ23174	LNG10049	C-LNG10049	
AK027215	FLJ23562	LNG10072	C-LNG10072	
AK026828	FLJ23175	LNG10438	C-LNG10438	
AK026829	FLJ23176	LNG10452	C-LNG10452	
AK027216	FLJ23563	LNG10469	C-LNG10469	
AK026830	FLJ23177	LNG10649	C-LNG10649	
AK026831	FLJ23178	LNG10715	C-LNG10715	
AK027217	FLJ23564	LNG10773	C-LNG10773	
AK027218	FLJ23565	LNG10846	C-LNG10846	
AK027219	FLJ23566	LNG10880	C-LNG10880	
AK026832	FLJ23179	LNG10890	C-LNG10890	
AK026833	FLJ23180	LNG10922	C-LNG10922	
AK027220	FLJ23567	LNG10928	C-LNG10928	
AK027221	FLJ23568	LNG11092	C-LNG11092	
AK026834	FLJ23181	LNG11094	C-LNG11094	
AK026835	FLJ23182	LNG11207	C-LNG11207	
AK172851	FLJ24012	LNG11380	C-LNG11380	
AK026836	FLJ23183	LNG11477	C-LNG11477	
AK026837	FLJ23184	LNG11527	C-LNG11527	
AK074450	FLJ23870	LNG11592	C-LNG11592	
AK026838	FLJ23185	LNG11762	C-LNG11762	
AK027222	FLJ23569	LNG11861	C-LNG11861	
AK026839	FLJ23186	LNG11945	C-LNG11945	
AK026840	FLJ23187	LNG11989	C-LNG11989	
AK172852	FLJ24013	LNG12005	C-LNG12005	
AK026841	FLJ23188	LNG12038	C-LNG12038	
AK026842	FLJ23189	LNG12061	C-LNG12061	
AK074451	FLJ23871	LNG12156	C-LNG12156	
AK027223	FLJ23570	LNG12158	C-LNG12158	
AK074452	FLJ23872	LNG12188	C-LNG12188	
AK026843	FLJ23190	LNG12190	C-LNG12190	
AK027224	FLJ23571	LNG12303	C-LNG12303	
AK026844	FLJ23191	LNG12304	C-LNG12304	
AK027225	FLJ23572	LNG12403	C-LNG12403	
AK172853	FLJ24014	LNG12467	C-LNG12467	
AK172854	FLJ24015	LNG12484	C-LNG12484	
AK027226	FLJ23573	LNG12520	C-LNG12520	
AK027227	FLJ23574	LNG12580	C-LNG12580	
AK027228	FLJ23575	LNG12586	C-LNG12586	
AK027229	FLJ23576	LNG12626	C-LNG12626	
AK027230	FLJ23577	LNG12640	C-LNG12640	
AK027231	FLJ23578	LNG12709	C-LNG12709	
AK074453	FLJ23873	LNG12941	C-LNG12941	
AK074454	FLJ23874	LNG12957	C-LNG12957	
AK027232	FLJ23579	LNG13017	C-LNG13017	
AK074455	FLJ23875	LNG13320	C-LNG13320	
AK027233	FLJ23580	LNG13520	C-LNG13520	
AK172855	FLJ24016	LNG13533	C-LNG13533	
AK074456	FLJ23876	LNG13582	C-LNG13582	
AK027234	FLJ23581	LNG13607	C-LNG13607	
AK074457	FLJ23877	LNG13624	C-LNG13624	
AK074458	FLJ23878	LNG13675	C-LNG13675	
AK172856	FLJ24017	LNG13731	C-LNG13731	
AK074459	FLJ23879	LNG13743	C-LNG13743	
AK074460	FLJ23880	LNG13754	C-LNG13754	
AK027235	FLJ23582	LNG13759	C-LNG13759	
AK027236	FLJ23583	LNG13775	C-LNG13775	
AK074461	FLJ23881	LNG13776	C-LNG13776	
AK074462	FLJ23882	LNG13813	C-LNG13813	
AK074463	FLJ23883	LNG13817	C-LNG13817	
AK074464	FLJ23884	LNG13819	C-LNG13819	
AK074465	FLJ23885	LNG13907	C-LNG13907	
AK074466	FLJ23886	LNG13909	C-LNG13909	
AK027237	FLJ23584	LNG14307	C-LNG14307	
AK074467	FLJ23887	LNG14332	C-LNG14332	
AK074468	FLJ23888	LNG14336	C-LNG14336	
AK172857	FLJ24018	LNG14339	C-LNG14339	
AK027238	FLJ23585	LNG14352	C-LNG14352	
AK027239	FLJ23586	LNG14376	C-LNG14376	
AK027240	FLJ23587	LNG14395	C-LNG14395	
AK074469	FLJ23889	LNG14417	C-LNG14417	
AK074470	FLJ23890	LNG14419	C-LNG14419	
AK027241	FLJ23588	LNG14428	C-LNG14428	
AK074471	FLJ23891	LNG14431	C-LNG14431	
AK027242	FLJ23589	LNG14467	C-LNG14467	
AK027243	FLJ23590	LNG14491	C-LNG14491	
AK074472	FLJ23892	LNG14570	C-LNG14570	
AK074473	FLJ23893	LNG14589	C-LNG14589	
AK074474	FLJ23894	LNG14612	C-LNG14612	
AK027244	FLJ23591	LNG14729	C-LNG14729	
AK027245	FLJ23592	LNG14731	C-LNG14731	
AK172858	FLJ24019	LNG14776	C-LNG14776	
AK027246	FLJ23593	LNG14821	C-LNG14821	
AK074475	FLJ23895	LNG14824	C-LNG14824	
AK027247	FLJ23594	LNG14867	C-LNG14867	
AK074476	FLJ23896	LNG15157	C-LNG15157	
AK074477	FLJ23897	LNG15183	C-LNG15183	
AK027248	FLJ23595	LNG15262	C-LNG15262	
AK027249	FLJ23596	LNG15269	C-LNG15269	
AK027250	FLJ23597	LNG15281	C-LNG15281	
AK074478	FLJ23898	LNG15328	C-LNG15328	
AK027251	FLJ23598	LNG15381	C-LNG15381	
AK074479	FLJ23899	LNG15433	C-LNG15433	
AK027252	FLJ23599	LNG15473	C-LNG15473	
AK027253	FLJ23600	LNG15477	C-LNG15477	
AK074480	FLJ23900	LNG15486	C-LNG15486	
AK027254	FLJ23601	LNG15501	C-LNG15501	
AK027255	FLJ23602	LNG15735	C-LNG15735	
AK027256	FLJ23603	LNG15787	C-LNG15787	
AK074481	FLJ23901	LNG15812	C-LNG15812	
AK027257	FLJ23604	LNG15857	C-LNG15857	
AK172859	FLJ24020	LNG15868	C-LNG15868	
AK172860	FLJ24021	LNG15928	C-LNG15928	
AK027258	FLJ23605	LNG15982	C-LNG15982	
AK027259	FLJ23606	LNG16001	C-LNG16001	
AK027260	FLJ23607	LNG16050	C-LNG16050	
AK026845	FLJ23192	REC00138	C-REC00138	
AK026846	FLJ23193	REC00306	C-REC00306	
AK000588	FLJ20581	REC00491	C-REC00491	
AK000587	FLJ20580	REC00516	C-REC00516	
AK000586	FLJ20579	REC00570	C-REC00570	
AK000585	FLJ20578	REC00607	C-REC00607	
AK000573	FLJ20566	REC00610	C-REC00610	
AK000584	FLJ20577	REC00709	C-REC00709	
AK000574	FLJ20567	REC00767	C-REC00767	
AK000575	FLJ20568	REC00775	C-REC00775	
AK000583	FLJ20576	REC00820	C-REC00820	
AK026848	FLJ23195	REC00843	C-REC00843	
AK026849	FLJ23196	REC00850	C-REC00850	
AK026850	FLJ23197	REC00917	C-REC00917	
AK000577	FLJ20570	REC00956	C-REC00956	
AK000582	FLJ20575	REC00971	C-REC00971	
AK026851	FLJ23198	REC01024	C-REC01024	
AK000581	FLJ20574	REC01035	C-REC01035	
AK000578	FLJ20571	REC01040	C-REC01040	
AK000579	FLJ20572	REC01048	C-REC01048	
AK000580	FLJ20573	REC01089	C-REC01089	
AK026852	FLJ23199	REC01091	C-REC01091	
AK054563	FLJ30001	3NB691000018	C-3NB691000018	
AK054564	FLJ30002	3NB691000085	C-3NB691000085	
AK054565	FLJ30003	3NB691000113	C-3NB691000113	
AK054566	FLJ30004	3NB691000116	C-3NB691000116	
AK054567	FLJ30005	3NB691000129	C-3NB691000129	
AK054568	FLJ30006	3NB691000173	C-3NB691000173	
AK054569	FLJ30007	3NB692000012	C-3NB692000012	
AK054570	FLJ30008	3NB692000029	C-3NB692000029	
AK054571	FLJ30009	3NB692000102	C-3NB692000102	
AK054572	FLJ30010	3NB692000154	C-3NB692000154	
AK054573	FLJ30011	3NB692000276	C-3NB692000276	
AK054574	FLJ30012	3NB692000281	C-3NB692000281	
AK054575	FLJ30013	3NB692000305	C-3NB692000305	
AK054576	FLJ30014	3NB692000330	C-3NB692000330	
AK054577	FLJ30015	3NB692000374	C-3NB692000374	
AK054578	FLJ30016	3NB692000429	C-3NB692000429	
AK054579	FLJ30017	3NB692000484	C-3NB692000484	
AK054580	FLJ30018	3NB692000529	C-3NB692000529	
AK054581	FLJ30019	3NB692000545	C-3NB692000545	
AK054582	FLJ30020	3NB692000912	C-3NB692000912	
AK054583	FLJ30021	3NB692000973	C-3NB692000973	
AK054584	FLJ30022	3NB692001002	C-3NB692001002	
AK054585	FLJ30023	3NB692001022	C-3NB692001022	
AK054586	FLJ30024	3NB692001034	C-3NB692001034	
AK054587	FLJ30025	3NB692001040	C-3NB692001040	
AK054588	FLJ30026	3NB692001123	C-3NB692001123	
AK054589	FLJ30027	3NB692001267	C-3NB692001267	
AK054590	FLJ30028	3NB692001288	C-3NB692001288	
AK054591	FLJ30029	3NB692001334	C-3NB692001334	
AK054592	FLJ30030	3NB692001339	C-3NB692001339	
AK054593	FLJ30031	3NB692001349	C-3NB692001349	
AK054594	FLJ30032	3NB692001366	C-3NB692001366	
AK054595	FLJ30033	3NB692001433	C-3NB692001433	
AK054596	FLJ30034	3NB692001442	C-3NB692001442	
AK054597	FLJ30035	3NB692001471	C-3NB692001471	
AK054598	FLJ30036	3NB692001496	C-3NB692001496	
AK054599	FLJ30037	3NB692001501	C-3NB692001501	
AK123017	FLJ41021	3NB692001507	C-3NB692001507	
AK054600	FLJ30038	3NB692001511	C-3NB692001511	
AK054601	FLJ30039	3NB692001519	C-3NB692001519	
AK054602	FLJ30040	3NB692001520	C-3NB692001520	
AK054603	FLJ30041	3NB692001528	C-3NB692001528	
AK054604	FLJ30042	3NB692001538	C-3NB692001538	
AK054605	FLJ30043	3NB692001548	C-3NB692001548	
AK054606	FLJ30044	3NB692001557	C-3NB692001557	
AK054607	FLJ30045	3NB692001637	C-3NB692001637	
AK054608	FLJ30046	3NB692001719	C-3NB692001719	
AK054609	FLJ30047	ADRGL1000002	C-ADRGL1000002	
AK054610	FLJ30048	ADRGL1000018	C-ADRGL1000018	
AK054611	FLJ30049	ADRGL1000033	C-ADRGL1000033	
AK054612	FLJ30050	ADRGL1000038	C-ADRGL1000038	
AK054613	FLJ30051	ADRGL1000065	C-ADRGL1000065	
AK054614	FLJ30052	ADRGL1000067	C-ADRGL1000067	
AK054615	FLJ30053	ADRGL1000144	C-ADRGL1000144	
AK054616	FLJ30054	ADRGL1000160	C-ADRGL1000160	
AK054617	FLJ30055	ADRGL1000165	C-ADRGL1000165	
AK054618	FLJ30056	ADRGL1000182	C-ADRGL1000182	
AK054619	FLJ30057	ADRGL2000006	C-ADRGL2000006	
AK054620	FLJ30058	ADRGL2000074	C-ADRGL2000074	
AK054621	FLJ30059	ADRGL2000085	C-ADRGL2000085	
AK054622	FLJ30060	ADRGL2000097	C-ADRGL2000097	
AK054623	FLJ30061	ADRGL2000117	C-ADRGL2000117	
AK122979	FLJ16730	ADRGL2000172	C-ADRGL2000172	
AK054624	FLJ30062	ADRGL2000248	C-ADRGL2000248	
AK054625	FLJ30063	ADRGL2000261	C-ADRGL2000261	
AK054626	FLJ30064	ADRGL2000323	C-ADRGL2000323	
AK054627	FLJ30065	ADRGL2000328	C-ADRGL2000328	
AK054628	FLJ30066	ADRGL2000428	C-ADRGL2000428	
AK123018	FLJ41022	ASTRO1000009	C-ASTRO1000009	
AK054629	FLJ30067	ASTRO1000018	C-ASTRO1000018	
AK054630	FLJ30068	ASTRO1000029	C-ASTRO1000029	
AK054631	FLJ30069	ASTRO1000096	C-ASTRO1000096	
AK054632	FLJ30070	ASTRO2000046	C-ASTRO2000046	
AK054633	FLJ30071	ASTRO2000095	C-ASTRO2000095	
AK054634	FLJ30072	ASTRO2000417	C-ASTRO2000417	
AK054635	FLJ30073	ASTRO2000480	C-ASTRO2000480	
AK054636	FLJ30074	BGGI11000123	C-BGGI11000123	
AK054637	FLJ30075	BGGI11000285	C-BGGI11000285	
AK054638	FLJ30076	BGGI12000022	C-BGGI12000022	
AK054639	FLJ30077	BGGI12000161	C-BGGI12000161	
AK054640	FLJ30078	BGGI12000533	C-BGGI12000533	
AK054641	FLJ30079	BGGI12000544	C-BGGI12000544	
AK054642	FLJ30080	BGGI12000684	C-BGGI12000684	
AK054643	FLJ30081	BGGI12000693	C-BGGI12000693	
AK054644	FLJ30082	BGGI12000839	C-BGGI12000839	
AK054645	FLJ30083	BGGI12001097	C-BGGI12001097	
AK054646	FLJ30084	BGGI12001682	C-BGGI12001682	
AK054647	FLJ30085	BGGI12001714	C-BGGI12001714	
AK054648	FLJ30086	BNGH41000002	C-BNGH41000002	
AK054649	FLJ30087	BNGH41000003	C-BNGH41000003	
AK054650	FLJ30088	BNGH41000010	C-BNGH41000010	
AK054651	FLJ30089	BNGH41000013	C-BNGH41000013	
AK054652	FLJ30090	BNGH41000015	C-BNGH41000015	
AK054653	FLJ30091	BNGH41000017	C-BNGH41000017	
AK054654	FLJ30092	BNGH41000029	C-BNGH41000029	
AK054655	FLJ30093	BNGH41000033	C-BNGH41000033	
AK054656	FLJ30094	BNGH41000034	C-BNGH41000034	
AK054657	FLJ30095	BNGH41000039	C-BNGH41000039	
AK054658	FLJ30096	BNGH41000045	C-BNGH41000045	
AK054659	FLJ30097	BNGH41000080	C-BNGH41000080	
AK054660	FLJ30098	BNGH41000088	C-BNGH41000088	
AK054661	FLJ30099	BNGH41000098	C-BNGH41000098	
AK054662	FLJ30100	BNGH41000104	C-BNGH41000104	
AK054663	FLJ30101	BNGH41000118	C-BNGH41000118	
AK054664	FLJ30102	BNGH41000137	C-BNGH41000137	
AK054665	FLJ30103	BNGH41000153	C-BNGH41000153	
AK054666	FLJ30104	BNGH41000169	C-BNGH41000169	
AK054667	FLJ30105	BNGH41000177	C-BNGH41000177	
AK054668	FLJ30106	BNGH41000190	C-BNGH41000190	
AK054669	FLJ30107	BNGH41000198	C-BNGH41000198	
AK054670	FLJ30108	BNGH41000216	C-BNGH41000216	
AK054671	FLJ30109	BNGH41000235	C-BNGH41000235	
AK054672	FLJ30110	BNGH42000132	C-BNGH42000132	
AK054673	FLJ30111	BNGH42000360	C-BNGH42000360	
AK054674	FLJ30112	BNGH42000405	C-BNGH42000405	
AK054675	FLJ30113	BNGH42000474	C-BNGH42000474	
AK054676	FLJ30114	BNGH42000532	C-BNGH42000532	
AK054677	FLJ30115	BRACE1000020	C-BRACE1000020	
AK054678	FLJ30116	BRACE1000042	C-BRACE1000042	
AK054679	FLJ30117	BRACE1000047	C-BRACE1000047	
AK054680	FLJ30118	BRACE1000065	C-BRACE1000065	
AK054681	FLJ30119	BRACE1000070	C-BRACE1000070	
AK054682	FLJ30120	BRACE1000073	C-BRACE1000073	
AK054683	FLJ30121	BRACE1000084	C-BRACE1000084	
AK054684	FLJ30122	BRACE1000087	C-BRACE1000087	
AK054685	FLJ30123	BRACE1000092	C-BRACE1000092	
AK054686	FLJ30124	BRACE1000093	C-BRACE1000093	
AK054687	FLJ30125	BRACE1000101	C-BRACE1000101	
AK054688	FLJ30126	BRACE1000114	C-BRACE1000114	
AK054689	FLJ30127	BRACE1000115	C-BRACE1000115	
AK054690	FLJ30128	BRACE1000124	C-BRACE1000124	
AK054691	FLJ30129	BRACE1000131	C-BRACE1000131	
AK054692	FLJ30130	BRACE1000132	C-BRACE1000132	
AK054693	FLJ30131	BRACE1000159	C-BRACE1000159	
AK054694	FLJ30132	BRACE1000166	C-BRACE1000166	
AK054695	FLJ30133	BRACE1000169	C-BRACE1000169	
AK054696	FLJ30134	BRACE1000187	C-BRACE1000187	
AK054698	FLJ30136	BRACE2000077	C-BRACE2000077	
AK054699	FLJ30137	BRACE2000078	C-BRACE2000078	
AK054700	FLJ30138	BRACE2000100	C-BRACE2000100	
AK054701	FLJ30139	BRACE2000109	C-BRACE2000109	
AK054702	FLJ30140	BRACE2000141	C-BRACE2000141	
AK054703	FLJ30141	BRACE2000148	C-BRACE2000148	
AK054704	FLJ30142	BRACE2000183	C-BRACE2000183	
AK054705	FLJ30143	BRACE2000229	C-BRACE2000229	
AK054706	FLJ30144	BRACE2000232	C-BRACE2000232	
AK054707	FLJ30145	BRACE2000245	C-BRACE2000245	
AK054708	FLJ30146	BRACE2000256	C-BRACE2000256	
AK054709	FLJ30147	BRACE2000266	C-BRACE2000266	
AK054710	FLJ30148	BRACE2000267	C-BRACE2000267	
AK054711	FLJ30149	BRACE2000280	C-BRACE2000280	
AK054712	FLJ30150	BRACE2000300	C-BRACE2000300	
AK054713	FLJ30151	BRACE2000332	C-BRACE2000332	
AK054714	FLJ30152	BRACE2000347	C-BRACE2000347	
AK054715	FLJ30153	BRACE2000351	C-BRACE2000351	
AK054716	FLJ30154	BRACE2000392	C-BRACE2000392	
AK054717	FLJ30155	BRACE2000421	C-BRACE2000421	
AK054718	FLJ30156	BRACE2000487	C-BRACE2000487	
AK054719	FLJ30157	BRACE2000505	C-BRACE2000505	
AK054720	FLJ30158	BRACE2000525	C-BRACE2000525	
AK054721	FLJ30159	BRACE2000526	C-BRACE2000526	
AK054722	FLJ30160	BRACE2000531	C-BRACE2000531	
AK054723	FLJ30161	BRACE2000545	C-BRACE2000545	
AK054724	FLJ30162	BRACE2000565	C-BRACE2000565	
AK054725	FLJ30163	BRACE2000577	C-BRACE2000577	
AK054726	FLJ30164	BRACE2000677	C-BRACE2000677	
AK054727	FLJ30165	BRACE2000698	C-BRACE2000698	
AK054728	FLJ30166	BRACE2000718	C-BRACE2000718	
AK054729	FLJ30167	BRACE2000743	C-BRACE2000743	
AK054730	FLJ30168	BRACE2000750	C-BRACE2000750	
AK054731	FLJ30169	BRACE2000864	C-BRACE2000864	
AK054732	FLJ30170	BRACE2000885	C-BRACE2000885	
AK054733	FLJ30171	BRACE2000936	C-BRACE2000936	
AK054734	FLJ30172	BRACE2000947	C-BRACE2000947	
AK054735	FLJ30173	BRACE2000969	C-BRACE2000969	
AK054736	FLJ30174	BRACE2000975	C-BRACE2000975	
AK054737	FLJ30175	BRACE2000988	C-BRACE2000988	
AK054738	FLJ30176	BRACE2001017	C-BRACE2001017	
AK054739	FLJ30177	BRACE2001065	C-BRACE2001065	
AK054740	FLJ30178	BRACE2001070	C-BRACE2001070	
AK054741	FLJ30179	BRACE2001094	C-BRACE2001094	
AK054742	FLJ30180	BRACE2001117	C-BRACE2001117	
AK054743	FLJ30181	BRACE2001143	C-BRACE2001143	
AK054744	FLJ30182	BRACE2001154	C-BRACE2001154	
AK054745	FLJ30183	BRACE2001188	C-BRACE2001188	
AK054746	FLJ30184	BRACE2001191	C-BRACE2001191	
AK054747	FLJ30185	BRACE2001197	C-BRACE2001197	
AK054748	FLJ30186	BRACE2001236	C-BRACE2001236	
AK054749	FLJ30187	BRACE2001239	C-BRACE2001239	
AK054750	FLJ30188	BRACE2001267	C-BRACE2001267	
AK054751	FLJ30189	BRACE2001269	C-BRACE2001269	
AK054752	FLJ30190	BRACE2001312	C-BRACE2001312	
AK054753	FLJ30191	BRACE2001313	C-BRACE2001313	
AK054754	FLJ30192	BRACE2001330	C-BRACE2001330	
AK054755	FLJ30193	BRACE2001340	C-BRACE2001340	
AK054756	FLJ30194	BRACE2001352	C-BRACE2001352	
AK054757	FLJ30195	BRACE2001374	C-BRACE2001374	
AK054758	FLJ30196	BRACE2001375	C-BRACE2001375	
AK054759	FLJ30197	BRACE2001423	C-BRACE2001423	
AK054760	FLJ30198	BRACE2001424	C-BRACE2001424	
AK054761	FLJ30199	BRACE2001453	C-BRACE2001453	
AK054762	FLJ30200	BRACE2001455	C-BRACE2001455	
AK054763	FLJ30201	BRACE2001477	C-BRACE2001477	
AK054764	FLJ30202	BRACE2001478	C-BRACE2001478	
AK054765	FLJ30203	BRACE2001492	C-BRACE2001492	
AK054766	FLJ30204	BRACE2001496	C-BRACE2001496	
AK054767	FLJ30205	BRACE2001497	C-BRACE2001497	
AK054768	FLJ30206	BRACE2001508	C-BRACE2001508	
AK054769	FLJ30207	BRACE2001534	C-BRACE2001534	
AK054770	FLJ30208	BRACE2001543	C-BRACE2001543	
AK054771	FLJ30209	BRACE2001564	C-BRACE2001564	
AK054772	FLJ30210	BRACE2001588	C-BRACE2001588	
AK054773	FLJ30211	BRACE2001607	C-BRACE2001607	
AK054774	FLJ30212	BRACE2001626	C-BRACE2001626	
AK054775	FLJ30213	BRACE2001673	C-BRACE2001673	
AK054776	FLJ30214	BRACE2001677	C-BRACE2001677	
AK054777	FLJ30215	BRACE2001692	C-BRACE2001692	
AK054778	FLJ30216	BRACE2001705	C-BRACE2001705	
AK054779	FLJ30217	BRACE2001709	C-BRACE2001709	
AK054780	FLJ30218	BRACE2001711	C-BRACE2001711	
AK054781	FLJ30219	BRACE2001726	C-BRACE2001726	
AK054782	FLJ30220	BRACE2001737	C-BRACE2001737	
AK054783	FLJ30221	BRACE2001742	C-BRACE2001742	
AK054784	FLJ30222	BRACE2001777	C-BRACE2001777	
AK054785	FLJ30223	BRACE2001785	C-BRACE2001785	
AK054786	FLJ30224	BRACE2001834	C-BRACE2001834	
AK054787	FLJ30225	BRACE2001855	C-BRACE2001855	
AK054788	FLJ30226	BRACE2001859	C-BRACE2001859	
AK054789	FLJ30227	BRACE2001865	C-BRACE2001865	
AK054790	FLJ30228	BRACE2001872	C-BRACE2001872	
AK054791	FLJ30229	BRACE2001892	C-BRACE2001892	
AK054792	FLJ30230	BRACE2001898	C-BRACE2001898	
AK054793	FLJ30231	BRACE2001923	C-BRACE2001923	
AK054794	FLJ30232	BRACE2001944	C-BRACE2001944	
AK054795	FLJ30233	BRACE2001971	C-BRACE2001971	
AK054796	FLJ30234	BRACE2001972	C-BRACE2001972	
AK054797	FLJ30235	BRACE2001973	C-BRACE2001973	
AK054798	FLJ30236	BRACE2002026	C-BRACE2002026	
AK054799	FLJ30237	BRACE2002034	C-BRACE2002034	
AK054800	FLJ30238	BRACE2002050	C-BRACE2002050	
AK054801	FLJ30239	BRACE2002081	C-BRACE2002081	
AK054802	FLJ30240	BRACE2002091	C-BRACE2002091	
AK054803	FLJ30241	BRACE2002139	C-BRACE2002139	
AK054804	FLJ30242	BRACE2002142	C-BRACE2002142	
AK054805	FLJ30243	BRACE2002151	C-BRACE2002151	
AK054806	FLJ30244	BRACE2002157	C-BRACE2002157	
AK054807	FLJ30245	BRACE2002176	C-BRACE2002176	
AK054808	FLJ30246	BRACE2002202	C-BRACE2002202	
AK054809	FLJ30247	BRACE2002227	C-BRACE2002227	
AK054810	FLJ30248	BRACE2002260	C-BRACE2002260	
AK054811	FLJ30249	BRACE2002297	C-BRACE2002297	
AK054812	FLJ30250	BRACE2002304	C-BRACE2002304	
AK054813	FLJ30251	BRACE2002394	C-BRACE2002394	
AK054814	FLJ30252	BRACE2002409	C-BRACE2002409	
AK054815	FLJ30253	BRACE2002431	C-BRACE2002431	
AK054816	FLJ30254	BRACE2002441	C-BRACE2002441	
AK054817	FLJ30255	BRACE2002444	C-BRACE2002444	
AK054818	FLJ30256	BRACE2002458	C-BRACE2002458	
AK054819	FLJ30257	BRACE2002467	C-BRACE2002467	
AK054820	FLJ30258	BRACE2002468	C-BRACE2002468	
AK054821	FLJ30259	BRACE2002478	C-BRACE2002478	
AK054822	FLJ30260	BRACE2002495	C-BRACE2002495	
AK054823	FLJ30261	BRACE2002585	C-BRACE2002585	
AK131514	FLJ16734	BRACE2002589	C-BRACE2002589	
AK054824	FLJ30262	BRACE2002590	C-BRACE2002590	
AK054825	FLJ30263	BRACE2002606	C-BRACE2002606	
AK054826	FLJ30264	BRACE2002613	C-BRACE2002613	
AK054827	FLJ30265	BRACE2002614	C-BRACE2002614	
AK054828	FLJ30266	BRACE2002617	C-BRACE2002617	
AK054829	FLJ30267	BRACE2002623	C-BRACE2002623	
AK054830	FLJ30268	BRACE2002635	C-BRACE2002635	
AK054831	FLJ30269	BRACE2002649	C-BRACE2002649	
AK054832	FLJ30270	BRACE2002661	C-BRACE2002661	
AK054833	FLJ30271	BRACE2002676	C-BRACE2002676	
AK054834	FLJ30272	BRACE2002682	C-BRACE2002682	
AK054835	FLJ30273	BRACE2002685	C-BRACE2002685	
AK054836	FLJ30274	BRACE2002695	C-BRACE2002695	
AK054837	FLJ30275	BRACE2002707	C-BRACE2002707	
AK054838	FLJ30276	BRACE2002736	C-BRACE2002736	
AK054839	FLJ30277	BRACE2002752	C-BRACE2002752	
AK054840	FLJ30278	BRACE2002755	C-BRACE2002755	
AK054841	FLJ30279	BRACE2002772	C-BRACE2002772	
AK054842	FLJ30280	BRACE2002792	C-BRACE2002792	
AK054843	FLJ30281	BRACE2002796	C-BRACE2002796	
AK054844	FLJ30282	BRACE2002803	C-BRACE2002803	
AK054845	FLJ30283	BRACE2002807	C-BRACE2002807	
AK054846	FLJ30284	BRACE2002812	C-BRACE2002812	
AK054847	FLJ30285	BRACE2002843	C-BRACE2002843	
AK054848	FLJ30286	BRACE2002849	C-BRACE2002849	
AK054849	FLJ30287	BRACE2002857	C-BRACE2002857	
AK054850	FLJ30288	BRACE2002860	C-BRACE2002860	
AK054851	FLJ30289	BRACE2002861	C-BRACE2002861	
AK054852	FLJ30290	BRACE2002884	C-BRACE2002884	
AK054853	FLJ30291	BRACE2002896	C-BRACE2002896	
AK054854	FLJ30292	BRACE2002948	C-BRACE2002948	
AK054855	FLJ30293	BRACE2003037	C-BRACE2003037	
AK054856	FLJ30294	BRACE2003078	C-BRACE2003078	
AK054858	FLJ30296	BRACE2003110	C-BRACE2003110	
AK054859	FLJ30297	BRACE2003168	C-BRACE2003168	
AK054860	FLJ30298	BRACE2003172	C-BRACE2003172	
AK054861	FLJ30299	BRACE2003199	C-BRACE2003199	
AK054862	FLJ30300	BRACE2003210	C-BRACE2003210	
AK054863	FLJ30301	BRACE2003217	C-BRACE2003217	
AK054864	FLJ30302	BRACE2003254	C-BRACE2003254	
AK054865	FLJ30303	BRACE2003269	C-BRACE2003269	
AK054866	FLJ30304	BRACE2003285	C-BRACE2003285	
AK054867	FLJ30305	BRACE2003304	C-BRACE2003304	
AK054868	FLJ30306	BRACE2003319	C-BRACE2003319	
AK054869	FLJ30307	BRACE2003398	C-BRACE2003398	
AK054870	FLJ30308	BRACE2003420	C-BRACE2003420	
AK054871	FLJ30309	BRACE2003428	C-BRACE2003428	
AK054872	FLJ30310	BRACE2003431	C-BRACE2003431	
AK054873	FLJ30311	BRACE2003449	C-BRACE2003449	
AK054874	FLJ30312	BRACE2003512	C-BRACE2003512	
AK054875	FLJ30313	BRACE2003516	C-BRACE2003516	
AK054876	FLJ30314	BRACE2003527	C-BRACE2003527	
AK054877	FLJ30315	BRACE2003539	C-BRACE2003539	
AK054878	FLJ30316	BRACE2003540	C-BRACE2003540	
AK054879	FLJ30317	BRACE2003594	C-BRACE2003594	
AK054880	FLJ30318	BRACE2003598	C-BRACE2003598	
