NCBI_ID,primary_gene_symbol,collision,gene_type,HGNC_ID,ENSG_ID,source
GENE ID:8822,FGF17,FGF-13,protein-coding,HGNC:3673,ENSG00000158815,NCBI
GENE ID:3075,CFH,FH,protein-coding,HGNC:4883,ENSG00000000971,NCBI
GENE ID:3949,LDLR,FH,protein-coding,HGNC:6547,ENSG00000130164,NCBI
GENE ID:2495,FTH1,FHC,protein-coding,HGNC:3976,ENSG00000167996,NCBI
GENE ID:3949,LDLR,FHC,protein-coding,HGNC:6547,ENSG00000130164,NCBI
GENE ID:4607,MYBPC3,FHC,protein-coding,HGNC:7551,ENSG00000134571,NCBI
GENE ID:3078,CFHR1,FHL-1,protein-coding,HGNC:4888,ENSG00000244414,NCBI
GENE ID:2273,FHL1,FHL-1,protein-coding,HGNC:3702,ENSG00000022267,NCBI
GENE ID:8641,PCDHGB4,FIB2,protein-coding,HGNC:8711,ENSG00000253953,NCBI
GENE ID:57120,GOPC,FIG,protein-coding,HGNC:17643,ENSG00000047932,NCBI
GENE ID:11067,DEPP1,FIG,protein-coding,HGNC:23355,ENSG00000165507,NCBI
GENE ID:5741,PTH,FIH1,protein-coding,HGNC:9606,ENSG00000152266,NCBI
GENE ID:55662,HIF1AN,FIH1,protein-coding,HGNC:17113,ENSG00000166135,NCBI
GENE ID:26525,IL36RN,FIL1,protein-coding,HGNC:15561,ENSG00000136695,NCBI
GENE ID:27177,IL36B,FIL1,protein-coding,HGNC:15564,ENSG00000136696,NCBI
GENE ID:27178,IL37,FIL1,protein-coding,HGNC:15563,ENSG00000125571,NCBI
GENE ID:27179,IL36A,FIL1,protein-coding,HGNC:15562,ENSG00000136694,NCBI
GENE ID:10670,RRAGA,FIP1,protein-coding,HGNC:16963,ENSG00000155876,NCBI
GENE ID:81608,FIP1L1,FIP1,protein-coding,HGNC:19124,ENSG00000145216,NCBI
GENE ID:8517,IKBKG,FIP3,protein-coding,HGNC:5961,ENSG00000269335,NCBI
GENE ID:9727,RAB11FIP3,FIP3,protein-coding,HGNC:17224,ENSG00000090565,NCBI
GENE ID:9855,FARP2,FIR,protein-coding,HGNC:16460,ENSG00000006607,NCBI
GENE ID:22827,PUF60,FIR,protein-coding,HGNC:17042,ENSG00000179950,NCBI
GENE ID:2158,F9,FIX,protein-coding,HGNC:3551,ENSG00000101981,NCBI
GENE ID:50808,AK3,FIX,protein-coding,HGNC:17376,ENSG00000147853,NCBI
GENE ID:7369,UMOD,FJHN,protein-coding,HGNC:12559,ENSG00000169344,NCBI
GENE ID:6928,HNF1B,FJHN,protein-coding,HGNC:11630,ENSG00000275410,NCBI
GENE ID:2285,FKBP1AP4,FKBP12,pseudo,HGNC:3717,,NCBI
GENE ID:2284,FKBP1AP3,FKBP12,pseudo,HGNC:3716,,NCBI
GENE ID:2283,FKBP1AP2,FKBP12,pseudo,HGNC:3715,,NCBI
GENE ID:2282,FKBP1AP1,FKBP12,pseudo,HGNC:3714,,NCBI
GENE ID:2280,FKBP1A,FKBP12,protein-coding,HGNC:3711,ENSG00000088832,NCBI
GENE ID:2288,FKBP4,FKBP51,protein-coding,HGNC:3720,ENSG00000004478,NCBI
GENE ID:2289,FKBP5,FKBP51,protein-coding,HGNC:3721,ENSG00000096060,NCBI
GENE ID:8837,CFLAR,FLIP,protein-coding,HGNC:1876,ENSG00000003402,NCBI
GENE ID:55732,FIRRM,FLIP,protein-coding,HGNC:25565,ENSG00000000460,NCBI
GENE ID:2359,FPR3,FMLP-R-II,protein-coding,HGNC:3828,ENSG00000187474,NCBI
GENE ID:2358,FPR2,FMLP-R-II,protein-coding,HGNC:3827,ENSG00000171049,NCBI
GENE ID:108684022,FRAXA,FMR1,biological-region,HGNC:3945,,NCBI
GENE ID:106478973,FMR1-IT1,FMR1,ncRNA,HGNC:41333,,NCBI
GENE ID:2334,AFF2,FMR2,protein-coding,HGNC:3776,ENSG00000155966,NCBI
GENE ID:109461475,FRAXE,FMR2,biological-region,HGNC:3949,,NCBI
GENE ID:90,ACVR1,FOP,protein-coding,HGNC:171,ENSG00000115170,NCBI
GENE ID:11116,CEP43,FOP,protein-coding,HGNC:17012,ENSG00000213066,NCBI
GENE ID:26097,CHTOP,FOP,protein-coding,HGNC:24511,ENSG00000160679,NCBI
GENE ID:286380,FOXD4L3,FOXD4B,protein-coding,HGNC:18523,ENSG00000187559,NCBI
GENE ID:286380,FOXD4L3,FOXD4L2,protein-coding,HGNC:18523,ENSG00000187559,NCBI
GENE ID:349334,FOXD4L4,FOXD4L2,protein-coding,HGNC:23762,ENSG00000184659,NCBI
GENE ID:349334,FOXD4L4,FOXD4b,protein-coding,HGNC:23762,ENSG00000184659,NCBI
GENE ID:5737,PTGFR,FP,protein-coding,HGNC:9600,ENSG00000122420,NCBI
GENE ID:6389,SDHA,FP,protein-coding,HGNC:10680,ENSG00000073578,NCBI
GENE ID:2359,FPR3,FPRH1,protein-coding,HGNC:3828,ENSG00000187474,NCBI
GENE ID:2358,FPR2,FPRH1,protein-coding,HGNC:3827,ENSG00000171049,NCBI
GENE ID:2358,FPR2,FPRH2,protein-coding,HGNC:3827,ENSG00000171049,NCBI
GENE ID:2359,FPR3,FPRH2,protein-coding,HGNC:3828,ENSG00000187474,NCBI
GENE ID:2242,FES,FPS,protein-coding,HGNC:3657,ENSG00000182511,NCBI
GENE ID:2224,FDPS,FPS,protein-coding,HGNC:3631,ENSG00000160752,NCBI
GENE ID:79874,RABEP2,FRA,protein-coding,HGNC:24817,ENSG00000177548,NCBI
GENE ID:8061,FOSL1,FRA,protein-coding,HGNC:13718,ENSG00000175592,NCBI
GENE ID:27315,PGAP2,FRAG1,protein-coding,HGNC:17893,ENSG00000148985,NCBI
GENE ID:79915,ATAD5,FRAG1,protein-coding,HGNC:25752,ENSG00000176208,NCBI
GENE ID:2487,FRZB,FRITZ,protein-coding,HGNC:3959,ENSG00000162998,NCBI
GENE ID:51057,WDPCP,FRITZ,protein-coding,HGNC:28027,ENSG00000143951,NCBI
GENE ID:6422,SFRP1,FRP,protein-coding,HGNC:10776,ENSG00000104332,NCBI
GENE ID:3624,INHBA,FRP,protein-coding,HGNC:6066,ENSG00000122641,NCBI
GENE ID:11167,FSTL1,FRP,protein-coding,HGNC:3972,ENSG00000163430,NCBI
GENE ID:6423,SFRP2,FRP-2,protein-coding,HGNC:10777,ENSG00000145423,NCBI
GENE ID:3675,ITGA3,FRP-2,protein-coding,HGNC:6139,ENSG00000005884,NCBI
GENE ID:545,ATR,FRP1,protein-coding,HGNC:882,ENSG00000175054,NCBI
GENE ID:6422,SFRP1,FRP1,protein-coding,HGNC:10776,ENSG00000104332,NCBI
GENE ID:26301,GBGT1,FS,protein-coding,HGNC:20460,ENSG00000148288,NCBI
GENE ID:10468,FST,FS,protein-coding,HGNC:3971,ENSG00000134363,NCBI
GENE ID:51062,ATL1,FSP1,protein-coding,HGNC:11231,ENSG00000198513,NCBI
GENE ID:84883,AIFM2,FSP1,protein-coding,HGNC:21411,ENSG00000042286,NCBI
GENE ID:6275,S100A4,FSP1,protein-coding,HGNC:10494,ENSG00000196154,NCBI
GENE ID:6683,SPAST,FSP2,protein-coding,HGNC:11233,ENSG00000021574,NCBI
GENE ID:26256,CABYR,FSP2,protein-coding,HGNC:15569,ENSG00000154040,NCBI
GENE ID:2521,FUS,FUS1,protein-coding,HGNC:4010,ENSG00000089280,NCBI
GENE ID:11334,TUSC2,FUS1,protein-coding,HGNC:17034,ENSG00000114383,NCBI
GENE ID:7264,GFUS,FX,protein-coding,HGNC:12390,ENSG00000104522,NCBI
GENE ID:2159,F10,FX,protein-coding,HGNC:3528,ENSG00000126218,NCBI
GENE ID:7114,TMSB4X,FX,protein-coding,HGNC:11881,ENSG00000205542,NCBI
GENE ID:80199,FUZ,FY,protein-coding,HGNC:26219,ENSG00000010361,NCBI
GENE ID:2532,ACKR1,FY,protein-coding,HGNC:4035,ENSG00000213088,NCBI
GENE ID:9775,EIF4A3,Fal1,protein-coding,HGNC:18683,ENSG00000141543,NCBI
GENE ID:84961,FBXL20,Fbl2,protein-coding,HGNC:24679,ENSG00000108306,NCBI
GENE ID:26232,FBXO2,Fbs1,protein-coding,HGNC:13581,ENSG00000116661,NCBI
GENE ID:84085,FBXO30,Fbx30,protein-coding,HGNC:15600,ENSG00000118496,NCBI
GENE ID:2205,FCER1A,FcERI,protein-coding,HGNC:3609,ENSG00000179639,NCBI
GENE ID:2210,FCGR1BP,FcRI,pseudo,HGNC:3614,ENSG00000291135,NCBI
GENE ID:158381,ATP8B5P,FetA,pseudo,HGNC:27245,ENSG00000290567,NCBI
GENE ID:2243,FGA,Fib2,protein-coding,HGNC:3661,ENSG00000171560,NCBI
GENE ID:6349,CCL3L1,G0S19-2,protein-coding,HGNC:10628,,NCBI
GENE ID:414062,CCL3L3,G0S19-2,protein-coding,HGNC:30554,ENSG00000276085,NCBI
GENE ID:221527,ZBTB12,G10,protein-coding,HGNC:19066,ENSG00000204366,NCBI
GENE ID:8896,BUD31,G10,protein-coding,HGNC:29629,ENSG00000106245,NCBI
GENE ID:1388,ATF6B,G13,protein-coding,HGNC:2349,ENSG00000213676,NCBI
GENE ID:10672,GNA13,G13,protein-coding,HGNC:4381,ENSG00000120063,NCBI
GENE ID:10181,RBM5,G15,protein-coding,HGNC:9902,ENSG00000003756,NCBI
GENE ID:10554,AGPAT1,G15,protein-coding,HGNC:324,ENSG00000204310,NCBI
GENE ID:10991,SLC38A3,G17,protein-coding,HGNC:18044,ENSG00000188338,NCBI
GENE ID:5089,PBX2,G17,protein-coding,HGNC:8633,ENSG00000204304,NCBI
GENE ID:63940,GPSM3,G18,protein-coding,HGNC:13945,ENSG00000213654,NCBI
GENE ID:1154,CISH,G18,protein-coding,HGNC:1984,ENSG00000114737,NCBI
GENE ID:25758,KIAA1549L,G2,protein-coding,HGNC:24836,ENSG00000110427,NCBI
GENE ID:7916,PRRC2A,G2,protein-coding,HGNC:13918,ENSG00000204469,NCBI
GENE ID:200575,CRYGEP,G2,pseudo,HGNC:2412,ENSG00000290929,NCBI
GENE ID:54020,SLC37A1,G3PP,protein-coding,HGNC:11024,ENSG00000160190,NCBI
GENE ID:283871,PGP,G3PP,protein-coding,HGNC:8909,ENSG00000184207,NCBI
GENE ID:2542,SLC37A4,G6PT,protein-coding,HGNC:4061,ENSG00000137700,NCBI
GENE ID:2538,G6PC1,G6PT,protein-coding,HGNC:4056,ENSG00000131482,NCBI
GENE ID:175,AGA,GA,protein-coding,HGNC:318,ENSG00000038002,NCBI
GENE ID:27165,GLS2,GA,protein-coding,HGNC:29570,ENSG00000135423,NCBI
GENE ID:51643,TMBIM4,GAAP,protein-coding,HGNC:24257,ENSG00000155957,NCBI
GENE ID:3096,HIVEP1,GAAP,protein-coding,HGNC:4920,ENSG00000095951,NCBI
GENE ID:100132399,GAGE12D,GAGE-12B,protein-coding,HGNC:31904,ENSG00000227488,NCBI
GENE ID:729428,GAGE12B,GAGE-12B,protein-coding,HGNC:26779,ENSG00000275113,NCBI
GENE ID:729422,GAGE12C,GAGE-12B,protein-coding,HGNC:28402,ENSG00000237671,NCBI
GENE ID:729431,GAGE12E,GAGE-12B,protein-coding,HGNC:31905,ENSG00000216649,NCBI
GENE ID:729447,GAGE2A,GAGE-2,protein-coding,HGNC:4099,ENSG00000189064,NCBI
GENE ID:645037,GAGE2B,GAGE-2,protein-coding,HGNC:31957,,NCBI
GENE ID:2574,GAGE2C,GAGE-2,protein-coding,HGNC:31958,,NCBI
GENE ID:2579,GAGE7,GAGE-7,protein-coding,HGNC:4104,,NCBI
GENE ID:100008586,GAGE12F,GAGE-7,protein-coding,HGNC:31906,ENSG00000236362,NCBI
GENE ID:26748,GAGE12I,GAGE-7B,protein-coding,HGNC:4105,,NCBI
GENE ID:100008586,GAGE12F,GAGE-7B,protein-coding,HGNC:31906,ENSG00000236362,NCBI
GENE ID:100008586,GAGE12F,GAGE-8,protein-coding,HGNC:31906,ENSG00000236362,NCBI
GENE ID:100101629,GAGE8,GAGE-8,protein-coding,HGNC:4106,,NCBI
GENE ID:729408,GAGE2D,GAGE-8,protein-coding,HGNC:31959,,NCBI
GENE ID:8712,PAGE1,GAGE-9,protein-coding,HGNC:4107,ENSG00000068985,NCBI
GENE ID:9506,PAGE4,GAGE-9,protein-coding,HGNC:4108,ENSG00000101951,NCBI
GENE ID:2574,GAGE2C,GAGE2,protein-coding,HGNC:31958,,NCBI
GENE ID:729447,GAGE2A,GAGE2,protein-coding,HGNC:4099,ENSG00000189064,NCBI
GENE ID:100008586,GAGE12F,GAGE7B,protein-coding,HGNC:31906,ENSG00000236362,NCBI
GENE ID:26748,GAGE12I,GAGE7B,protein-coding,HGNC:4105,,NCBI
GENE ID:26749,GAGE2E,GAGE8,protein-coding,HGNC:31960,,NCBI
GENE ID:729408,GAGE2D,GAGE8,protein-coding,HGNC:31959,,NCBI
GENE ID:653220,XAGE1A,GAGED2,protein-coding,HGNC:4111,ENSG00000204379,NCBI
GENE ID:653067,XAGE1B,GAGED2,protein-coding,HGNC:25400,ENSG00000204382,NCBI
GENE ID:653499,LGALS7B,GAL7,protein-coding,HGNC:34447,ENSG00000178934,NCBI
GENE ID:3963,LGALS7,GAL7,protein-coding,HGNC:6568,ENSG00000205076,NCBI
GENE ID:8693,GALNT4,GALNAC-T4,protein-coding,HGNC:4126,ENSG00000257594,NCBI
GENE ID:79623,GALNT14,GALNT15,protein-coding,HGNC:22946,ENSG00000158089,NCBI
GENE ID:168391,GALNTL5,GALNT15,protein-coding,HGNC:21725,ENSG00000106648,NCBI
GENE ID:374378,GALNT18,GALNT15,protein-coding,HGNC:30488,ENSG00000110328,NCBI
GENE ID:9628,RGS6,GAP,protein-coding,HGNC:10002,ENSG00000182732,NCBI
GENE ID:5921,RASA1,GAP,protein-coding,HGNC:9871,ENSG00000145715,NCBI
GENE ID:161142,GARIN2,GARI-L1,protein-coding,HGNC:20101,ENSG00000172717,NCBI
GENE ID:84691,GARIN1B,GARI-L1,protein-coding,HGNC:30704,ENSG00000135248,NCBI
GENE ID:1258,CNGB1,GARP,protein-coding,HGNC:2151,ENSG00000070729,NCBI
GENE ID:2615,LRRC32,GARP,protein-coding,HGNC:4161,ENSG00000137507,NCBI
GENE ID:2617,GARS1,GARS,protein-coding,HGNC:4162,ENSG00000106105,NCBI
GENE ID:2618,GART,GARS,protein-coding,HGNC:4163,ENSG00000159131,NCBI
GENE ID:2588,GALNS,GAS,protein-coding,HGNC:4122,ENSG00000141012,NCBI
GENE ID:2520,GAST,GAS,protein-coding,HGNC:4164,ENSG00000184502,NCBI
GENE ID:79447,PAGR1,GAS,protein-coding,HGNC:28707,ENSG00000280789,NCBI
GENE ID:9737,GPRASP1,GASP,protein-coding,HGNC:24834,ENSG00000198932,NCBI
GENE ID:81552,VOPP1,GASP,protein-coding,HGNC:34518,ENSG00000154978,NCBI
GENE ID:387357,THEMIS,GASP,protein-coding,HGNC:21569,ENSG00000172673,NCBI
GENE ID:124857,WFIKKN2,GASP-1,protein-coding,HGNC:30916,ENSG00000173714,NCBI
GENE ID:9737,GPRASP1,GASP-1,protein-coding,HGNC:24834,ENSG00000198932,NCBI
GENE ID:6539,SLC6A12,GAT2,protein-coding,HGNC:11045,ENSG00000111181,NCBI
GENE ID:6540,SLC6A13,GAT2,protein-coding,HGNC:11046,ENSG00000010379,NCBI
GENE ID:6538,SLC6A11,GAT3,protein-coding,HGNC:11044,ENSG00000132164,NCBI
GENE ID:6540,SLC6A13,GAT3,protein-coding,HGNC:11046,ENSG00000010379,NCBI
GENE ID:1650,DDOST,GATD6,protein-coding,HGNC:2728,ENSG00000244038,NCBI
GENE ID:1373,CPS1,GATD6,protein-coding,HGNC:2323,ENSG00000021826,NCBI
GENE ID:2630,GBA1LP,GBA,pseudo,HGNC:4178,ENSG00000291137,NCBI
GENE ID:2629,GBA1,GBA,protein-coding,HGNC:4177,ENSG00000177628,NCBI
GENE ID:3030,HADHA,GBP,protein-coding,HGNC:4801,ENSG00000084754,NCBI
GENE ID:8554,PIAS1,GBP,protein-coding,HGNC:2752,ENSG00000033800,NCBI
GENE ID:3956,LGALS1,GBP,protein-coding,HGNC:6561,ENSG00000100097,NCBI
GENE ID:54972,TMEM132A,GBP,protein-coding,HGNC:31092,ENSG00000006118,NCBI
GENE ID:79751,SLC25A22,GC1,protein-coding,HGNC:19954,ENSG00000177542,NCBI
GENE ID:6648,SOD2,GC1,protein-coding,HGNC:11180,ENSG00000291237,NCBI
GENE ID:10562,OLFM4,GC1,protein-coding,HGNC:17190,ENSG00000102837,NCBI
GENE ID:251,ALPG,GCAP,protein-coding,HGNC:441,ENSG00000163286,NCBI
GENE ID:2978,GUCA1A,GCAP,protein-coding,HGNC:4678,ENSG00000048545,NCBI
GENE ID:2980,GUCA2A,GCAP-I,protein-coding,HGNC:4682,ENSG00000197273,NCBI
GENE ID:2978,GUCA1A,GCAP-I,protein-coding,HGNC:4678,ENSG00000048545,NCBI
GENE ID:2979,GUCA1B,GCAP-II,protein-coding,HGNC:4679,ENSG00000112599,NCBI
GENE ID:2981,GUCA2B,GCAP-II,protein-coding,HGNC:4683,ENSG00000044012,NCBI
GENE ID:4882,NPR2,GCB,protein-coding,HGNC:7944,ENSG00000159899,NCBI
GENE ID:2629,GBA1,GCB,protein-coding,HGNC:4177,ENSG00000177628,NCBI
GENE ID:2639,GCDH,GCD,protein-coding,HGNC:4189,ENSG00000105607,NCBI
GENE ID:390226,GUCY2EP,GCD,pseudo,HGNC:4690,,NCBI
GENE ID:51605,TRMT6,GCD10,protein-coding,HGNC:20900,ENSG00000089195,NCBI
GENE ID:54675,CRLS1,GCD10,protein-coding,HGNC:16148,ENSG00000088766,NCBI
GENE ID:275,AMT,GCE,protein-coding,HGNC:473,ENSG00000145020,NCBI
GENE ID:2653,GCSH,GCE,protein-coding,HGNC:4208,ENSG00000140905,NCBI
GENE ID:2731,GLDC,GCE,protein-coding,HGNC:4313,ENSG00000178445,NCBI
GENE ID:2729,GCLC,GCL,protein-coding,HGNC:4311,ENSG00000001084,NCBI
GENE ID:64396,GMCL2,GCL,protein-coding,HGNC:19717,ENSG00000244234,NCBI
GENE ID:64395,GMCL1,GCL,protein-coding,HGNC:23843,ENSG00000087338,NCBI
GENE ID:25801,GCA,GCL,protein-coding,HGNC:15990,ENSG00000115271,NCBI
GENE ID:100820829,MYZAP,GCOM1,protein-coding,HGNC:43444,ENSG00000263155,NCBI
GENE ID:81488,POLR2M,GCOM1,protein-coding,HGNC:14862,ENSG00000255529,NCBI
GENE ID:339970,POLR2MP1,GCOM2,pseudo,HGNC:15712,,NCBI
GENE ID:2652,OPN1MW,GCP,protein-coding,HGNC:4206,ENSG00000268221,NCBI
GENE ID:2804,GOLGB1,GCP,protein-coding,HGNC:4429,ENSG00000173230,NCBI
GENE ID:101060233,OPN1MW3,GCP,protein-coding,HGNC:51831,ENSG00000269433,NCBI
GENE ID:7283,TUBG1,GCP-1,protein-coding,HGNC:12417,ENSG00000131462,NCBI
GENE ID:3576,CXCL8,GCP-1,protein-coding,HGNC:6025,ENSG00000169429,NCBI
GENE ID:10844,TUBGCP2,GCP-2,protein-coding,HGNC:18599,ENSG00000130640,NCBI
GENE ID:6372,CXCL6,GCP-2,protein-coding,HGNC:10643,ENSG00000124875,NCBI
GENE ID:10844,TUBGCP2,GCP2,protein-coding,HGNC:18599,ENSG00000130640,NCBI
GENE ID:2803,GOLGA4,GCP2,protein-coding,HGNC:4427,ENSG00000144674,NCBI
GENE ID:6372,CXCL6,GCP2,protein-coding,HGNC:10643,ENSG00000124875,NCBI
GENE ID:2346,FOLH1,GCP2,protein-coding,HGNC:3788,ENSG00000086205,NCBI
GENE ID:10426,TUBGCP3,GCP3,protein-coding,HGNC:18598,ENSG00000126216,NCBI
GENE ID:10003,NAALAD2,GCP3,protein-coding,HGNC:14526,ENSG00000077616,NCBI
GENE ID:2910,NR3C1P1,GCR2,pseudo,HGNC:4592,ENSG00000276393,NCBI
GENE ID:11319,ECD,GCR2,protein-coding,HGNC:17029,ENSG00000122882,NCBI
GENE ID:2729,GCLC,GCS,protein-coding,HGNC:4311,ENSG00000001084,NCBI
GENE ID:7357,UGCG,GCS,protein-coding,HGNC:12524,ENSG00000148154,NCBI
GENE ID:8034,SLC25A16,GDA,protein-coding,HGNC:10986,ENSG00000122912,NCBI
GENE ID:51084,CRYL1,GDH,protein-coding,HGNC:18246,ENSG00000165475,NCBI
GENE ID:9563,H6PD,GDH,protein-coding,HGNC:4795,ENSG00000049239,NCBI
GENE ID:2746,GLUD1,GDH,protein-coding,HGNC:4335,ENSG00000148672,NCBI
GENE ID:7358,UGDH,GDH,protein-coding,HGNC:12525,ENSG00000109814,NCBI
GENE ID:2820,GPD2,GDH2,protein-coding,HGNC:4456,ENSG00000115159,NCBI
GENE ID:2747,GLUD2,GDH2,protein-coding,HGNC:4336,ENSG00000182890,NCBI
GENE ID:138842267,SNTB1-AS1,GDIL,ncRNA,HGNC:58133,,NCBI
GENE ID:2664,GDI1,GDIL,protein-coding,HGNC:4226,ENSG00000203879,NCBI
GENE ID:5270,SERPINE2,GDN,protein-coding,HGNC:8951,ENSG00000135919,NCBI
GENE ID:55534,MAML3,GDN,protein-coding,HGNC:16272,ENSG00000196782,NCBI
GENE ID:2995,GYPC,GE,protein-coding,HGNC:4704,ENSG00000136732,NCBI
GENE ID:1991,ELANE,GE,protein-coding,HGNC:3309,ENSG00000197561,NCBI
GENE ID:9181,ARHGEF2,GEF,protein-coding,HGNC:682,ENSG00000116584,NCBI
GENE ID:56731,SLC2A4RG,GEF,protein-coding,HGNC:15930,ENSG00000125520,NCBI
GENE ID:57449,PLEKHG5,GEF720,protein-coding,HGNC:29105,ENSG00000171680,NCBI
GENE ID:8718,TNFRSF25,GEF720,protein-coding,HGNC:11910,ENSG00000215788,NCBI
GENE ID:6607,SMN2,GEMIN1,protein-coding,HGNC:11118,ENSG00000205571,NCBI
GENE ID:6606,SMN1,GEMIN1,protein-coding,HGNC:11117,ENSG00000172062,NCBI
GENE ID:2896,GRN,GEP,protein-coding,HGNC:4601,ENSG00000030582,NCBI
GENE ID:2623,GATA1,GF1,protein-coding,HGNC:4170,ENSG00000102145,NCBI
GENE ID:6654,SOS1,GF1,protein-coding,HGNC:11187,ENSG00000115904,NCBI
GENE ID:9945,GFPT2,GFAT,protein-coding,HGNC:4242,ENSG00000131459,NCBI
GENE ID:2673,GFPT1,GFAT,protein-coding,HGNC:4241,ENSG00000198380,NCBI
GENE ID:728226,GGTLC3,GGT,protein-coding,HGNC:33426,ENSG00000274252,NCBI
GENE ID:728441,GGT2P,GGT,pseudo,HGNC:4251,,NCBI
GENE ID:2678,GGT1,GGT,protein-coding,HGNC:4250,ENSG00000100031,NCBI
GENE ID:653590,GGTLC5P,GGT,pseudo,HGNC:33427,ENSG00000276160,NCBI
GENE ID:729838,GGTLC4P,GGT,pseudo,HGNC:33428,ENSG00000230712,NCBI
GENE ID:2681,GGTA1,GGTA,protein-coding,HGNC:4253,ENSG00000204136,NCBI
GENE ID:1121,CHM,GGTA,protein-coding,HGNC:1940,ENSG00000188419,NCBI
GENE ID:121328,GGTA2P,GGTA1P,pseudo,HGNC:4254,ENSG00000237766,NCBI
GENE ID:2681,GGTA1,GGTA1P,protein-coding,HGNC:4253,ENSG00000204136,NCBI
GENE ID:8836,GGH,GH,protein-coding,HGNC:4248,ENSG00000137563,NCBI
GENE ID:2688,GH1,GH,protein-coding,HGNC:4261,ENSG00000259384,NCBI
GENE ID:64795,RMND5A,GID2,protein-coding,HGNC:25850,ENSG00000153561,NCBI
GENE ID:64777,RMND5B,GID2,protein-coding,HGNC:26181,ENSG00000145916,NCBI
GENE ID:2694,CBLIF,GIF,protein-coding,HGNC:4268,ENSG00000134812,NCBI
GENE ID:4504,MT3,GIF,protein-coding,HGNC:7408,ENSG00000087250,NCBI
GENE ID:4282,MIF,GIF,protein-coding,HGNC:7097,ENSG00000240972,NCBI
GENE ID:1200,TPP1,GIG1,protein-coding,HGNC:2073,ENSG00000166340,NCBI
GENE ID:3491,CCN1,GIG1,protein-coding,HGNC:2654,ENSG00000142871,NCBI
GENE ID:4818,NKG7,GIG1,protein-coding,HGNC:7830,ENSG00000105374,NCBI
GENE ID:2805,GOT1,GIG18,protein-coding,HGNC:4432,ENSG00000120053,NCBI
GENE ID:113263,GLCCI1,GIG18,protein-coding,HGNC:18713,ENSG00000106415,NCBI
GENE ID:2771,GNAI2,GIP,protein-coding,HGNC:4385,ENSG00000114353,NCBI
GENE ID:114897,C1QTNF1,GIP,protein-coding,HGNC:14324,ENSG00000173918,NCBI
GENE ID:81025,GJA9,GJA10,protein-coding,HGNC:19155,ENSG00000131233,NCBI
GENE ID:100527950,GJA9-MYCBP,GJA10,ncRNA,,,NCBI
GENE ID:100527950,GJA9-MYCBP,GJA9,ncRNA,,,NCBI
GENE ID:57369,GJD2,GJA9,protein-coding,HGNC:19154,ENSG00000159248,NCBI
GENE ID:2710,GK,GK1,protein-coding,HGNC:4289,ENSG00000198814,NCBI
GENE ID:2584,GALK1,GK1,protein-coding,HGNC:4118,ENSG00000108479,NCBI
GENE ID:79660,PPP1R3B,GL,protein-coding,HGNC:14942,ENSG00000173281,NCBI
GENE ID:8513,LIPF,GL,protein-coding,HGNC:6622,ENSG00000182333,NCBI
GENE ID:28962,OSTM1,GL,protein-coding,HGNC:21652,ENSG00000081087,NCBI
GENE ID:7357,UGCG,GLCT1,protein-coding,HGNC:12524,ENSG00000148154,NCBI
GENE ID:4245,MGAT1,GLCT1,protein-coding,HGNC:7044,ENSG00000131446,NCBI
GENE ID:2645,GCK,GLK,protein-coding,HGNC:4195,ENSG00000106633,NCBI
GENE ID:8491,MAP4K3,GLK,protein-coding,HGNC:6865,ENSG00000011566,NCBI
GENE ID:342096,GOLGA6A,GLP,protein-coding,HGNC:13567,ENSG00000159289,NCBI
GENE ID:55213,RCBTB1,GLP,protein-coding,HGNC:18243,ENSG00000136144,NCBI
GENE ID:79813,EHMT1,GLP,protein-coding,HGNC:24650,ENSG00000181090,NCBI
GENE ID:2641,GCG,GLP-1,protein-coding,HGNC:4191,ENSG00000115263,NCBI
GENE ID:2740,GLP1R,GLP-1,protein-coding,HGNC:4324,ENSG00000112164,NCBI
GENE ID:100125288,ZGLP1,GLP-1,protein-coding,HGNC:37245,ENSG00000220201,NCBI
GENE ID:100125288,ZGLP1,GLP1,protein-coding,HGNC:37245,ENSG00000220201,NCBI
GENE ID:79813,EHMT1,GLP1,protein-coding,HGNC:24650,ENSG00000181090,NCBI
GENE ID:2641,GCG,GLP1,protein-coding,HGNC:4191,ENSG00000115263,NCBI
GENE ID:2629,GBA1,GLUC,protein-coding,HGNC:4177,ENSG00000177628,NCBI
GENE ID:57733,GBA3,GLUC,protein-coding,HGNC:19069,ENSG00000249948,NCBI
GENE ID:2630,GBA1LP,GLUC,pseudo,HGNC:4178,ENSG00000291137,NCBI
GENE ID:2912,GRM2,GLUR2,protein-coding,HGNC:4594,ENSG00000164082,NCBI
GENE ID:2891,GRIA2,GLUR2,protein-coding,HGNC:4572,ENSG00000120251,NCBI
GENE ID:2913,GRM3,GLUR3,protein-coding,HGNC:4595,ENSG00000198822,NCBI
GENE ID:2892,GRIA3,GLUR3,protein-coding,HGNC:4573,ENSG00000125675,NCBI
GENE ID:2917,GRM7,GLUR7,protein-coding,HGNC:4599,ENSG00000196277,NCBI
GENE ID:2899,GRIK3,GLUR7,protein-coding,HGNC:4581,ENSG00000163873,NCBI
GENE ID:66035,SLC2A11,GLUT10,protein-coding,HGNC:14239,ENSG00000133460,NCBI
GENE ID:81031,SLC2A10,GLUT10,protein-coding,HGNC:13444,ENSG00000197496,NCBI
