,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,alias_symbol
7136,ENSG00000135517,MIP,7103,4284, LIM1
56571,ENSG00000273706,LHX1,6593,3975, LIM1
5650,ENSG00000125149,PHAF1,29564,80262, LIN-10
509,ENSG00000034053,APBA2,579,321, LIN-10
8641,ENSG00000144589,STK11IP,19184,114790, LIP1
9531,ENSG00000151849,CENPJ,17272,55835, LIP1
25220,ENSG00000216740,ANXA2P3,540,, LIP2
15441,ENSG00000182718,ANXA2,537,302, LIP2
16165,ENSG00000185621,LMLN,15991,89782, LMNL1
10613,ENSG00000160789,LMNA,6636,4000, LMNL1
7581,ENSG00000137804,NUSAP1,18538,51203, LNP
8602,ENSG00000144320,LNPK,21610,80856, LNP
10923,ENSG00000162836,ACP6,29609,51205, LPAP
24165,ENSG00000213402,PTPRCAP,9667,5790, LPAP
11442,ENSG00000164463,CREBRF,24050,153222, LRF
14705,ENSG00000178951,ZBTB7A,18078,51341, LRF
6670,ENSG00000132670,PTPRA,9664,5786, LRP
5411,ENSG00000123384,LRP1,6692,4035, LRP
12350,ENSG00000168028,RPSA,6502,3921, LRP
17567,ENSG00000197324,LRP10,14553,26020, LRP9
7548,ENSG00000137642,SORL1,11185,6653, LRP9
500,ENSG00000033050,ABCF2,71,10061, M-ABC1
17511,ENSG00000197150,ABCB8,49,11194, M-ABC1
57099,ENSG00000274099,ABCB10P1,14114,, M-ABC2
7185,ENSG00000135776,ABCB10,41,23456, M-ABC2
10540,ENSG00000160255,ITGB2,6155,3689, MAC-1
12791,ENSG00000169896,ITGAM,6149,3684, MAC-1
28,ENSG00000002822,MAD1L1,6762,8379, MAD1
805,ENSG00000059728,MXD1,6761,4084, MAD1
11330,ENSG00000164109,MAD2L1,6763,4085, MAD2
5018,ENSG00000119950,MXI1,7534,4601, MAD2
10613,ENSG00000160789,LMNA,6636,4000, MADA
4645,ENSG00000116748,AMPD1,468,270, MADA
4410,ENSG00000115216,NRBP1,7993,29959, MADM
7601,ENSG00000137845,ADAM10,188,102, MADM
17999,ENSG00000198681,MAGEA1,6796,4100, MAGE1
9844,ENSG00000154545,MAGED4,23793,728239, MAGE1
7951,ENSG00000139977,NAA30,19844,122830, MAK3
5211,ENSG00000121579,NAA50,29533,80218, MAK3
5052,ENSG00000120215,MLANA,7124,2315, MART1
45827,ENSG00000254656,RTL1,14665,388015, MART1
39870,ENSG00000242265,PEG10,14005,23089, MART2
729,ENSG00000054392,HHAT,18270,55733, MART2
18123,ENSG00000198910,L1CAM,6470,3897, MASA
8736,ENSG00000145293,ENOPH1,24599,58478, MASA
11749,ENSG00000165698,SPACA9,1367,11092, MAST
1888,ENSG00000090487,SPG21,20373,51324, MAST
16453,ENSG00000186652,PRG2,9362,5553, MBP
11684,ENSG00000165471,MBL2,6922,4153, MBP
2058,ENSG00000095951,HIVEP1,4920,3096, MBP-1
1281,ENSG00000074800,ENO1,3350,2023, MBP-1
3593,ENSG00000108691,CCL2,10618,6347, MCAF
13211,ENSG00000171681,ATF7IP,20092,55729, MCAF
2782,ENSG00000103150,MLYCD,7150,23417, MCD
16139,ENSG00000185499,MUC1,7508,4582, MCD
9497,ENSG00000151632,AKR1C2,385,1646, MCDR2
166,ENSG00000007062,PROM1,9454,8842, MCDR2
7790,ENSG00000138794,CASP6,1507,839, MCH2
9547,ENSG00000152034,MCHR2,20867,84539, MCH2
1322,ENSG00000075643,MOCOS,18234,55034, MCS
5917,ENSG00000126970,ZC4H2,24931,55906, MCS
9936,ENSG00000155380,SLC16A1,10922,6566, MCT1
2264,ENSG00000100294,MCAT,29622,27349, MCT1
8980,ENSG00000147100,SLC16A2,10923,6567, MCT7
3628,ENSG00000108932,SLC16A6,10927,9120, MCT7
3684,ENSG00000109436,TBC1D9,21710,23158, MDR1
1670,ENSG00000085563,ABCB1,40,5243, MDR1
75790,ENSG00000293543,DUSP13A,56772,128854680, MDSP
1470,ENSG00000079393,DUSP13B,19681,51207, MDSP
653,ENSG00000049089,COL9A2,2218,1298, MED
1990,ENSG00000092758,COL9A3,2219,1299, MED
17426,ENSG00000196876,SCN8A,10596,6334, MED
3175,ENSG00000105664,COMP,2227,1311, MED
2814,ENSG00000103313,MEFV,6998,4210, MEF
2631,ENSG00000102034,ELF4,3319,2000, MEF
22111,ENSG00000206402,LY6G6D,13935,58530, MEGT1
42826,ENSG00000250641,LY6G6F-LY6G6D,38821,110599563, MEGT1
1764,ENSG00000087995,METTL2A,25755,339175, METTL2
11592,ENSG00000165055,METTL2B,18272,55798, METTL2
7315,ENSG00000136450,SRSF1,10780,6426, MGC5228
13409,ENSG00000172460,PRSS30P,28753,, MGC5228
11247,ENSG00000163885,CFAP100,26842,348807, MIA1
50627,ENSG00000261857,MIA,7076,8190, MIA1
8163,ENSG00000141452,RMC1,24326,29919, MIC1
6313,ENSG00000130513,GDF15,30142,9518, MIC1
13616,ENSG00000173436,MICOS10,32068,440574, MIC10
4726,ENSG00000117335,CD46,6953,4179, MIC10
8727,ENSG00000145241,CENPC,1854,1060, MIF2
2162,ENSG00000099977,DDT,2732,1652, MIF2
7383,ENSG00000136830,NIBAN2,25282,64855, MINERVA
4880,ENSG00000118855,MFSD1,25874,64747, MINERVA
8171,ENSG00000141503,MINK1,17565,50488, MINK
15006,ENSG00000180509,KCNE1,6240,3753, MINK
57656,ENSG00000274768,CISD3,27578,284106, MINT
936,ENSG00000065526,SPEN,17575,23013, MINT
243,ENSG00000009950,MLXIPL,12744,51085, MIO
11488,ENSG00000164654,MIOS,21905,54468, MIO
1599,ENSG00000083312,TNPO1,6401,3842, MIP
57719,ENSG00000274847,MAFIP,31102,727764, MIP
1527,ENSG00000081041,CXCL2,4603,2920, MIP-2A
17292,ENSG00000196459,TRAPPC2,23068,6399, MIP-2A
4939,ENSG00000119487,MAPKAP1,18752,79109, MIP1
1599,ENSG00000083312,TNPO1,6401,3842, MIP1
8189,ENSG00000141564,RPTOR,30287,57521, MIP1
11672,ENSG00000165406,MARCHF8,23356,220972, MIR
14049,ENSG00000175727,MLXIP,17055,22877, MIR
195,ENSG00000007944,MYLIP,21155,29116, MIR
1410,ENSG00000078043,PIAS2,17311,9063, MIZ
3512,ENSG00000108175,ZMIZ1,16493,57178, MIZ
3849,ENSG00000110921,MVK,7530,4598, MK
3805,ENSG00000110492,MDK,6972,4192, MK
4346,ENSG00000114738,MAPKAPK3,6888,7867, MK3
14376,ENSG00000177272,KCNA3,6221,3738, MK3
4026,ENSG00000112116,IL17F,16404,112744, ML-1
6719,ENSG00000132932,ATP8A2,13533,51761, ML-1
8064,ENSG00000140795,MYLK3,29826,91807, MLCK
937,ENSG00000065534,MYLK,7590,4638, MLCK
55738,ENSG00000272333,KMT2B,15840,9757, MLL2
12204,ENSG00000167548,KMT2D,7133,8085, MLL2
55738,ENSG00000272333,KMT2B,15840,9757, MLL4
12204,ENSG00000167548,KMT2D,7133,8085, MLL4
13934,ENSG00000175130,MARCKSL1,7142,65108, MLP
6148,ENSG00000129170,CSRP3,2472,8048, MLP
13934,ENSG00000175130,MARCKSL1,7142,65108, MLP1
1932,ENSG00000091262,ABCC6,57,368, MLP1
3410,ENSG00000107159,CA9,1383,768, MN
12852,ENSG00000170180,GYPA,4702,2993, MN
11636,ENSG00000165204,OR1K1,8212,392392, MNAB
765,ENSG00000056586,RC3H2,21461,54542, MNAB
12852,ENSG00000170180,GYPA,4702,2993, MNS
17611,ENSG00000197465,GYPE,4705,2996, MNS
42635,ENSG00000250361,GYPB,4703,2994, MNS
7916,ENSG00000139697,SBNO1,22973,55206, MOP3
6829,ENSG00000133794,BMAL1,701,406, MOP3
1957,ENSG00000091972,CD200,7203,4345, MOX2
3335,ENSG00000106511,MEOX2,7014,4223, MOX2
3495,ENSG00000107959,PITRM1,17663,10531, MP1
3674,ENSG00000109270,LAMTOR3,15606,8649, MP1
14519,ENSG00000177954,RPS27,10416,6232, MPS1
4131,ENSG00000112742,TTK,12401,7272, MPS1
2571,ENSG00000101608,MYL12A,16701,10627, MRCL3
10157,ENSG00000157335,CLEC18C,28538,283971, MRCL3
25402,ENSG00000218283,MORF4L1P1,20400,, MRG1
6876,ENSG00000134138,MEIS2,7001,4212, MRG1
14780,ENSG00000179277,MEIS3P1,7002,, MRG2
3120,ENSG00000105419,MEIS3,29537,56917, MRG2
1936,ENSG00000091436,MAP3K20,17797,51776, MRK
4031,ENSG00000112144,CILK1,21219,22858, MRK
2797,ENSG00000103222,ABCC1,51,4363, MRP
4640,ENSG00000116729,WLS,30238,79971, MRP
7537,ENSG00000137547,MRPL15,14054,29088, MRP-L15
4447,ENSG00000115364,MRPL19,14052,9801, MRP-L15
4196,ENSG00000113318,MSH3,7326,4437, MRP1
2797,ENSG00000103222,ABCC1,51,4363, MRP1
436,ENSG00000023839,ABCC2,53,1244, MRP2
9357,ENSG00000150361,KLHL1,6352,57626, MRP2
11033,ENSG00000163221,S100A12,10489,6283, MRP6
1932,ENSG00000091262,ABCC6,57,368, MRP6
15,ENSG00000001626,CFTR,1884,1080, MRP7
5583,ENSG00000124574,ABCC10,52,89845, MRP7
123,ENSG00000006071,ABCC8,59,6833, MRP8
8474,ENSG00000143546,S100A8,10498,6279, MRP8
12076,ENSG00000166959,MS4A8,13380,83661, MS4A4
3764,ENSG00000110079,MS4A4A,13371,51338, MS4A4
4453,ENSG00000115414,FN1,3778,2335, MSF
15927,ENSG00000184640,SEPTIN9,7323,10801, MSF
4630,ENSG00000116690,PRG4,9364,10216, MSF
5044,ENSG00000120149,MSX2,7392,4488, MSH
4398,ENSG00000115138,POMC,9201,5443, MSH
10207,ENSG00000157766,ACAN,319,176, MSK16
13638,ENSG00000173546,CSPG4,2466,1464, MSK16
51303,ENSG00000263639,MSMB,7372,4477, MSP
13633,ENSG00000173531,MST1,7380,4485, MSP
16165,ENSG00000185621,LMLN,15991,89782, MSP
5690,ENSG00000125459,MSTO1,29678,55154, MST
6370,ENSG00000130758,MAP3K10,6849,4294, MST
21822,ENSG00000205364,MT1M,14296,4499, MT1K
5648,ENSG00000125144,MT1G,7399,4495, MT1K
46799,ENSG00000255986,MT1JP,7402,, MTB
8961,ENSG00000146918,NCAPG2,21904,54892, MTB
49680,ENSG00000260549,MT1L,7404,, MTF
11276,ENSG00000163975,MELTF,7037,4241, MTF
7468,ENSG00000137200,CMTR1,21077,23070, MTR1
1146,ENSG00000070985,TRPM5,14323,29850, MTR1
9096,ENSG00000147889,CDKN2A,1787,1029, MTS1
17172,ENSG00000196154,S100A4,10494,6275, MTS1
3348,ENSG00000106588,PSMA2,9531,5683, MU
16872,ENSG00000188428,BLOC1S5,18561,63915, MU
6882,ENSG00000134184,GSTM1,4632,2944, MU
10669,ENSG00000161203,AP2M1,564,1173, MU2
6171,ENSG00000129354,AP1M2,558,10053, MU2
10639,ENSG00000160953,PWWP3A,29641,84939, MUM1
7480,ENSG00000137265,IRF4,6119,3662, MUM1
8911,ENSG00000146457,WTAP,16846,9589, MUM2
12826,ENSG00000170043,TRAPPC1,19894,58485, MUM2
8989,ENSG00000147130,ZMYM3,13054,9203, MYM
5222,ENSG00000121741,ZMYM2,12989,7750, MYM
11237,ENSG00000163867,ZMYM6,13050,9204, MYM
17477,ENSG00000197056,ZMYM1,26253,79830, MYM
8912,ENSG00000146463,ZMYM4,13055,9202, MYM
903,ENSG00000064787,BCAS1,974,8537, NABC1
1800,ENSG00000088836,SLC4A11,16438,83959, NABC1
626,ENSG00000047597,XK,12811,7504, NAC
1945,ENSG00000091592,NLRP1,14374,22861, NAC
8599,ENSG00000144285,SCN1A,10585,6323, NAC1
10628,ENSG00000160877,NACC1,20967,112939, NAC1
16562,ENSG00000187109,NAP1L1,7637,4673, NAP1
6478,ENSG00000131400,NAPSA,13395,9476, NAP1
833,ENSG00000061676,NCKAP1,7666,10787, NAP1
2558,ENSG00000101473,ACOT8,15919,10005, NAP1
12687,ENSG00000169429,CXCL8,6025,3576, NAP1
11110,ENSG00000163512,AZI2,24002,64343, NAP1
13612,ENSG00000173418,NAA20,15908,51126, NAT3
7838,ENSG00000139209,SLC38A4,14679,55089, NAT3
5211,ENSG00000121579,NAA50,29533,80218, NAT5
13612,ENSG00000173418,NAA20,15908,51126, NAT5
1228,ENSG00000073282,TP63,15979,8626, NBP
1038,ENSG00000068120,COASY,29932,80347, NBP
16651,ENSG00000187609,EXD3,26023,54932, NBR
6371,ENSG00000130762,ARHGEF16,15515,27237, NBR
419,ENSG00000022556,NLRP2,22948,55655, NBS1
2914,ENSG00000104320,NBN,7652,4683, NBS1
4627,ENSG00000116679,IVNS1ABP,16951,10625, ND1
18112,ENSG00000198888,MT-ND1,7455,4535, ND1
2936,ENSG00000104419,NDRG1,7679,10397, NDR1
4022,ENSG00000112079,STK38,17847,11329, NDR1
17320,ENSG00000196549,MME,7154,4311, NEP
7496,ENSG00000137332,DDR1,2730,780, NEP
3870,ENSG00000111145,ELK3,3325,2004, NET
2853,ENSG00000103546,SLC6A2,11048,6530, NET
6883,ENSG00000134186,PRPF38B,25512,55119, NET1
2853,ENSG00000103546,SLC6A2,11048,6530, NET1
11811,ENSG00000165970,SLC6A5,11051,9152, NET1
6177,ENSG00000129455,KLK8,6369,11202, NEUROPSIN
5628,ENSG00000124818,OPN5,19992,221391, NEUROPSIN
2402,ENSG00000100811,YY1,12856,7528, NF-E1
2652,ENSG00000102145,GATA1,4170,2623, NF-E1
13638,ENSG00000173546,CSPG4,2466,1464, NG2
15651,ENSG00000183574,RNF5,10068,6048, NG2
122,ENSG00000006062,MAP3K14,6853,9020, NIK
1148,ENSG00000071054,MAP4K4,6866,9448, NIK
5386,ENSG00000123159,GIPC1,1226,10755, NIP
24827,ENSG00000214960,CRPPA,37276,729920, NIP
7975,ENSG00000140254,DUOXA1,26507,90527, NIP
4325,ENSG00000114503,NCBP2,7659,22916, NIP1
5804,ENSG00000125967,NECAB3,15851,63941, NIP1
5984,ENSG00000127743,IL17B,5982,27190, NIRF
9088,ENSG00000147854,UHRF2,12557,115426, NIRF
14612,ENSG00000178445,GLDC,4313,2731, NKH
8705,ENSG00000145020,AMT,473,275, NKH
4443,ENSG00000115353,TACR1,11526,6869, NKIR
16292,ENSG00000186074,CD300LF,29883,146722, NKIR
12774,ENSG00000169836,TACR3,11528,6870, NKR
3979,ENSG00000111796,KLRB1,6373,3820, NKR
12282,ENSG00000167772,ANGPTL4,16039,51129, NL2
8304,ENSG00000142606,MMEL1,14668,79258, NL2
12760,ENSG00000169760,NLGN1,14291,22871, NLG1
5842,ENSG00000126259,KIRREL2,18816,84063, NLG1
15997,ENSG00000184967,NOC4L,28461,79050, NOC4
6445,ENSG00000131148,EMC8,7864,10328, NOC4
4940,ENSG00000119508,NR4A3,7982,8013, NOR1
4669,ENSG00000116885,OSCP1,29971,127700, NOR1
170,ENSG00000007171,NOS2,7873,4843, NOS
1841,ENSG00000089250,NOS1,7872,4842, NOS
9025,ENSG00000147403,RPL10,10298,6134, NOV
7432,ENSG00000136999,CCN3,7885,4856, NOV
16362,ENSG00000186310,NAP1L3,7639,4675, NPL3
54746,ENSG00000270647,TAF15,11547,8148, NPL3
16901,ENSG00000188566,NDOR1,29838,27158, NR1
14280,ENSG00000176884,GRIN1,4584,2902, NR1
4555,ENSG00000116044,NFE2L2,7782,4780, NRF2
9865,ENSG00000154727,GABPA,4071,2551, NRF2
2095,ENSG00000099250,NRP1,8004,8829, NRP
16562,ENSG00000187109,NAP1L1,7637,4673, NRP
5396,ENSG00000123240,OPTN,17142,10133, NRP
3605,ENSG00000108797,CNTNAP1,8011,8506, NRXN4
13805,ENSG00000174469,CNTNAP2,13830,26047, NRXN4
6822,ENSG00000133710,SPINK5,15464,11005, NS
11264,ENSG00000163938,GNL3,29931,26354, NS
14437,ENSG00000177551,NHLH2,7818,4808, NSCL2
8990,ENSG00000147133,TAF1,11535,6872, NSCL2
12502,ENSG00000168672,LRATD2,24166,157638, NSE2
10093,ENSG00000156831,NSMCE2,26513,286053, NSE2
17939,ENSG00000198492,YTHDF2,31675,51441, NY-REN-2
54667,ENSG00000270503,YTHDF2P1,19865,, NY-REN-2
17728,ENSG00000197847,SLC22A20P,29867,, OAT6
61,ENSG00000004809,SLC22A16,20302,85413, OAT6
3016,ENSG00000104904,OAZ1,8095,4946, OAZ
2747,ENSG00000102935,ZNF423,16762,23090, OAZ
11084,ENSG00000163430,FSTL1,3972,11167, OCC-1
35809,ENSG00000235162,C12orf75,35164,387882, OCC-1
35809,ENSG00000235162,C12orf75,35164,387882, OCC1
11084,ENSG00000163430,FSTL1,3972,11167, OCC1
4225,ENSG00000113558,SKP1,10899,6500, OCP2
32702,ENSG00000231234,SKP1P1,33696,, OCP2
21546,ENSG00000204531,POU5F1,9221,5460, OCT3
8915,ENSG00000146477,SLC22A3,10967,6581, OCT3
8343,ENSG00000142920,AZIN2,29957,113451, ODC1L
9909,ENSG00000155096,AZIN1,16432,51582, ODC1L
235,ENSG00000009694,TENM1,8117,10178, ODZ3
25407,ENSG00000218336,TENM3,29944,55714, ODZ3
11409,ENSG00000164330,EBF1,3126,1879, OLF1
12298,ENSG00000167825,OR5I1,8347,10798, OLF1
53984,ENSG00000268834,OR7A1P,8364,, OLF4P
13324,ENSG00000172148,OR7A2P,8370,, OLF4P
4885,ENSG00000118903,BTF3P11,1126,, OPG
11520,ENSG00000164761,TNFRSF11B,11909,4982, OPG
30541,ENSG00000228547,OR7E26P,8398,, OR7E68P
36168,ENSG00000235623,OR7E110P,15126,, OR7E68P
24306,ENSG00000213672,NCKIPSD,15486,51517, ORF1
7143,ENSG00000135541,AHI1,21575,54806, ORF1
35645,ENSG00000234965,SHISA8,18351,440829, ORF26
10210,ENSG00000157796,WDR19,18340,57728, ORF26
2908,ENSG00000104237,RP1,10263,6101, ORP1
8160,ENSG00000141447,OSBPL1A,16398,114876, ORP1
13512,ENSG00000172939,OXSR1,8508,9943, OSR1
6700,ENSG00000132823,OSER1,16105,51526, OSR1
40621,ENSG00000244038,DDOST,2728,1650, OST
5831,ENSG00000126217,MCF2L,14576,23263, OST
17652,ENSG00000197587,DMBX1,19026,127343, OTX3
3112,ENSG00000105392,CRX,2383,1406, OTX3
11147,ENSG00000163606,CD200R1,24235,131450, OX2R
7478,ENSG00000137252,HCRTR2,4849,3062, OX2R
10356,ENSG00000158887,MPZ,7225,4359, P0
1830,ENSG00000089157,RPLP0,10371,6175, P0
15027,ENSG00000180644,PRF1,9360,5551, P1
7589,ENSG00000137818,RPLP1,10372,6176, P1
33926,ENSG00000232799,CRYGFP,2413,, P1
6039,ENSG00000128274,A4GALT,18149,53947, P1
3676,ENSG00000109320,NFKB1,7794,4790, P105
8257,ENSG00000142186,SCYL1,14372,57410, P105
1376,ENSG00000077150,NFKB2,7795,4791, P105
26593,ENSG00000223496,EXOSC6,19055,118460, P11
17698,ENSG00000197747,S100A10,10487,6281, P11
8788,ENSG00000145715,RASA1,9871,5921, P120
17961,ENSG00000198561,CTNND1,2515,1500, P120
3936,ENSG00000111641,NOP2,7867,4839, P120
36195,ENSG00000235655,H3P6,42980,, P13
13121,ENSG00000171311,EXOSC1,17286,51013, P13
4615,ENSG00000116586,LAMTOR2,29796,28956, P14
4395,ENSG00000115128,SF3B6,30096,51639, P14
6695,ENSG00000132792,CTNNBL1,15879,56259, P14
11032,ENSG00000163220,S100A9,10499,6280, P14
9096,ENSG00000147889,CDKN2A,1787,1029, P14
12291,ENSG00000167797,CDK2AP2,30833,10263, P14
9094,ENSG00000147883,CDKN2B,1788,1030, P15
6667,ENSG00000132661,NXT1,15913,29107, P15
1702,ENSG00000086504,MRPL28,14484,10573, P15
4206,ENSG00000113387,SUB1,19985,10923, P15
12031,ENSG00000166825,ANPEP,500,290, P150
2084,ENSG00000097007,ABL1,76,25, P150
12246,ENSG00000167670,CHAF1A,1910,10036, P150
17321,ENSG00000196550,FAM72A,24044,729533, P17
9126,ENSG00000148229,POLE3,13546,54107, P17
5625,ENSG00000124802,EEF1E1,3212,9521, P18
17945,ENSG00000198517,MAFK,6782,7975, P18
16392,ENSG00000186448,ZNF197,12988,10168, P18
9263,ENSG00000149357,LAMTOR1,26068,55004, P18
5370,ENSG00000123080,CDKN2C,1789,1031, P18
7654,ENSG00000138085,ATRAID,24090,51374, P18
32227,ENSG00000230618,H3P12,42873,, P18
14846,ENSG00000179636,TPPP2,19293,122664, P18
2596,ENSG00000101868,POLA1,9173,5422, P180
5768,ENSG00000125844,RRBP1,10448,6238, P180
9096,ENSG00000147889,CDKN2A,1787,1029, P19
3853,ENSG00000110944,IL23A,15488,51561, P19
6172,ENSG00000129355,CDKN2D,1790,1032, P19
17049,ENSG00000189079,ARID2,18037,196528, P200
990,ENSG00000066777,ARFGEF1,15772,10565, P200
229,ENSG00000008869,HEATR5B,29273,54497, P200
14615,ENSG00000178458,H3P16,42982,, P21
5611,ENSG00000124762,CDKN1A,1784,1026, P21
12537,ENSG00000168824,NSG1,18790,27065, P21
24851,ENSG00000215021,PHB2,30306,11331, P22
17493,ENSG00000197102,DYNC1H1,2961,1778, P22
16609,ENSG00000187446,CHP1,17433,11261, P22
4369,ENSG00000114867,EIF4G1,3296,1981, P220
9258,ENSG00000149308,NPAT,7896,4863, P220
253,ENSG00000010278,CD9,1709,928, P24
16609,ENSG00000187446,CHP1,17433,11261, P24
17550,ENSG00000197272,IL27,19157,246778, P28
11244,ENSG00000163879,DNALI1,14353,7802, P28
9203,ENSG00000148834,GSTO1,13312,9446, P28
3574,ENSG00000108587,GOSR1,4430,9527, P28
4771,ENSG00000117614,SYF2,19824,25949, P29
17271,ENSG00000196415,PRTN3,9495,5657, P29
4762,ENSG00000117592,PRDX6,16753,9588, P29
5910,ENSG00000126903,SLC10A3,22979,8273, P3
13249,ENSG00000171824,EXOSC10,9138,5394, P3
713,ENSG00000053501,USE1,30882,55850, P31
6438,ENSG00000131100,ATP6V1E1,857,529, P31
2108,ENSG00000099341,PSMD8,9566,5714, P31
3570,ENSG00000108561,C1QBP,1243,708, P32
9735,ENSG00000153563,CD8A,1706,925, P32
3910,ENSG00000111358,GTF2H3,4657,2967, P34
2857,ENSG00000103591,AAGAB,25662,79719, P34
6947,ENSG00000134480,CCNH,1594,902, P34
14249,ENSG00000176749,CDK5R1,1775,8851, P35
40414,ENSG00000243566,UPK3B,21444,105375355, P35
12534,ENSG00000168811,IL12A,5969,3592, P35
10560,ENSG00000160339,FCN2,3624,2220, P35
5323,ENSG00000122643,NT5C3A,17820,51251, P36
25725,ENSG00000220875,H3C9P,18982,, P36
6947,ENSG00000134480,CCNH,1594,902, P37
13319,ENSG00000172116,CD8B,1707,926, P37
3303,ENSG00000106305,AIMP2,20609,7965, P38
2362,ENSG00000100591,AHSA1,1189,10598, P38
4019,ENSG00000112062,MAPK14,6876,1432, P38
10459,ENSG00000159720,ATP6V0D1,13724,9114, P39
13149,ENSG00000171450,CDK5R2,1776,8941, P39
4614,ENSG00000116584,ARHGEF2,682,9181, P40
1228,ENSG00000073282,TP63,15979,8626, P40
2763,ENSG00000103035,PSMD7,9565,5713, P40
8814,ENSG00000145839,IL9,6029,3578, P40
2422,ENSG00000100916,BRMS1L,20512,84312, P40
4448,ENSG00000115365,LANCL1,6508,10314, P40
17946,ENSG00000198520,ARMH1,34345,339541, P40
12350,ENSG00000168028,RPSA,6502,3921, P40
4731,ENSG00000117395,EBNA1BP2,15531,10969, P40
4600,ENSG00000116455,WDR77,29652,79084, P44
7624,ENSG00000137965,IFI44,16938,10561, P44
8794,ENSG00000145736,GTF2H2,4656,2966, P44
54622,ENSG00000270433,H3P37,19823,, P47
9727,ENSG00000153487,ING1,6062,3621, P47
3130,ENSG00000105472,CLEC11A,10576,6320, P47
1799,ENSG00000088833,NSFL1C,15912,55968, P47
12403,ENSG00000168267,PTF1A,23734,256297, P48
2306,ENSG00000100380,ST13,11343,6767, P48
48813,ENSG00000259389,H3P38,31028,, P48
3676,ENSG00000109320,NFKB1,7794,4790, P50
7687,ENSG00000138303,ASCC1,24268,51008, P50
2441,ENSG00000101017,CD40,11919,958, P50
2705,ENSG00000102606,ARHGEF7,15607,8874, P50
1228,ENSG00000073282,TP63,15979,8626, P51
52263,ENSG00000265541,H3P41,42979,, P51
17468,ENSG00000197024,ZNF398,18373,57541, P51
11583,ENSG00000164985,PSIP1,9527,11168, P52
1376,ENSG00000077150,NFKB2,7795,4791, P52
8992,ENSG00000147140,NONO,7871,4841, P54
2062,ENSG00000096060,FKBP5,3721,2289, P54
4648,ENSG00000116754,SRSF11,10782,9295, P54
10186,ENSG00000157554,ERG,3446,2078, P55
1320,ENSG00000075618,FSCN1,11148,6624, P55
29258,ENSG00000226881,H3P44,42981,, P55
7782,ENSG00000138769,CDKL2,1782,8999, P56
5376,ENSG00000123106,CCDC91,24855,55297, P56
2730,ENSG00000102879,CORO1A,2252,11151, P57
6213,ENSG00000129757,CDKN1C,1786,1028, P57
2703,ENSG00000102580,DNAJC3,9439,5611, P58
4917,ENSG00000119318,RAD23B,9813,5887, P58
40500,ENSG00000243772,KIR2DL3,6331,3804, P58
12088,ENSG00000167004,PDIA3,4606,2923, P58
5456,ENSG00000123737,EXOSC9,9137,5393, P6
11033,ENSG00000163221,S100A12,10489,6283, P6
677,ENSG00000050327,ARHGEF5,13209,7984, P60
10651,ENSG00000161011,SQSTM1,11280,8878, P60
12628,ENSG00000169194,IL13,5973,3596, P600
5958,ENSG00000127481,UBR4,30313,23352, P600
6717,ENSG00000132912,DCTN4,15518,51164, P62
10651,ENSG00000161011,SQSTM1,11280,8878, P62
23950,ENSG00000213024,NUP62,8066,23636, P62
1246,ENSG00000073792,IGF2BP2,28867,10644, P62
3828,ENSG00000110768,GTF2H1,4655,2965, P62
5230,ENSG00000121774,KHDRBS1,18116,10657, P62
7238,ENSG00000136026,CKAP4,16991,10970, P63
1228,ENSG00000073282,TP63,15979,8626, P63
4350,ENSG00000114745,GORASP1,16769,64689, P65
13531,ENSG00000173039,RELA,9955,5970, P65
3110,ENSG00000105383,CD33,1659,945, P67
3868,ENSG00000111142,METAP2,16672,10988, P67
3586,ENSG00000108654,DDX5,2746,1655, P68
1395,ENSG00000077514,POLD3,20932,10714, P68
11583,ENSG00000164985,PSIP1,9527,11168, P75
470,ENSG00000028137,TNFRSF1B,11917,7133, P75
1163,ENSG00000071564,TCF3,11633,6929, P75
8474,ENSG00000143546,S100A8,10498,6279, P8
14107,ENSG00000176046,NUPR1,29990,26471, P8
16092,ENSG00000185290,NUPR2,44164,389493, P8
15440,ENSG00000182712,CMC4,35428,100272147, P8
1334,ENSG00000075914,EXOSC7,28112,23016, P8
1455,ENSG00000079134,THOC1,19070,9984, P84
5697,ENSG00000125503,PPP1R12C,14947,54776, P84
17806,ENSG00000198053,SIRPA,9662,140885, P84
2705,ENSG00000102606,ARHGEF7,15607,8874, P85
5697,ENSG00000125503,PPP1R12C,14947,54776, P85
1794,ENSG00000088808,PPP1R13B,14950,23368, P85
8780,ENSG00000145675,PIK3R1,8979,5295, P85
24774,ENSG00000214827,MTCP1,7423,4515, P8MTCP1
15440,ENSG00000182712,CMC4,35428,100272147, P8MTCP1
1191,ENSG00000072274,TFRC,11763,7037, P90
5918,ENSG00000127022,CANX,1473,821, P90
14806,ENSG00000179409,GEMIN4,15717,50628, P97
11651,ENSG00000165280,VCP,12666,7415, P97
13941,ENSG00000175166,PSMD2,9559,5708, P97
3786,ENSG00000110321,EIF4G2,3297,1982, P97
9742,ENSG00000153774,CFDP1,1873,10428, P97
12073,ENSG00000166947,EPB42,3381,2038, PA
2899,ENSG00000104164,BLOC1S6,8549,26258, PA
7838,ENSG00000139209,SLC38A4,14679,55089, PAAT
5020,ENSG00000119965,C10orf88,25822,80007, PAAT
